problem,scenario,target_ton,product_ton,total_use_mwh,renewable_mwh,buy_mwh,sell_mwh,self_use_ratio,green_ratio,export_ratio,margin_self_use,margin_green,margin_export,status,running_cost_yuan,comprehensive_cost_yuan,running_cost_per_ton,comprehensive_cost_per_ton
P3,风电场景3-光伏场景2,72,71.99999999999999,1056.7199999999998,522.28,538.1663999999997,3.7264000000000053,0.9857302596308495,0.4907199636611402,0.007134870184575334,0.3857302596308495,0.1907199636611402,0.19286512981542467,full,476536.2417999997,479869.57513333304,6618.558913888886,6664.855210185183
P3,风电场景3-光伏场景2,63,62.999999999999986,932.2199999999998,522.28,413.6663999999998,3.7264000000000195,0.9857302596308493,0.55625667760829,0.007134870184575361,0.3857302596308493,0.25625667760829,0.19286512981542464,full,362818.7217999998,366152.05513333314,5759.027330158729,5811.937383068781
P3,风电场景3-光伏场景2,54,53.99999999999999,807.7199999999999,522.28,289.16639999999995,3.7264000000000266,0.9857302596308493,0.6419967315406329,0.007134870184575375,0.3857302596308493,0.34199673154063287,0.19286512981542464,full,272188.42179999995,275521.75513333327,5040.52632962963,5102.254724691357
P3,风电场景3-光伏场景2,45,44.999999999999986,683.22,522.28,235.06440000000003,74.1244000000001,0.7161507237497126,0.6559462545007463,0.14192463812514378,0.11615072374971258,0.3559462545007463,0.058075361874856235,full,198335.03979999997,201668.3731333333,4407.44532888889,4481.519402962964
P3,风电场景3-光伏场景2,36,35.99999999999999,558.72,522.28,235.06440000000003,198.6244,0.23939496055755527,0.5792804982817868,0.38030251972122237,-0.3606050394424447,0.27928049828178686,-0.18030251972122235,partial,136277.48979999998,139610.82313333332,3785.485827777778,3878.078420370371
P3,风电场景3-光伏场景3,72,72.0,1056.7199999999998,356.52000000000004,700.1999999999998,0.0,0.9999999999999999,0.33738360208948454,0.0,0.3999999999999999,0.03738360208948455,0.2,full,576088.2089999999,579421.5423333333,8001.225124999999,8047.521421296296
P3,风电场景3-光伏场景3,63,62.999999999999986,932.2199999999998,356.52000000000004,575.6999999999998,0.0,0.9999999999999999,0.3824419128531893,0.0,0.3999999999999999,0.0824419128531893,0.2,full,461180.40899999987,464513.7423333332,7320.323952380952,7373.234005291005
P3,风电场景3-光伏场景3,54,53.999999999999986,807.7199999999998,356.52000000000004,451.1999999999998,0.0,0.9999999999999999,0.4413905808943695,0.0,0.3999999999999999,0.1413905808943695,0.2,full,352124.63699999993,355457.97033333324,6520.826611111112,6582.55500617284
P3,风电场景3-光伏场景3,45,44.99999999999999,683.2199999999998,356.52000000000004,326.69999999999993,0.0,0.9999999999999996,0.5218231316413456,0.0,0.3999999999999996,0.22182313164134565,0.2,full,261494.33699999994,264827.67033333326,5810.985266666667,5885.05934074074
P3,风电场景3-光伏场景3,36,35.99999999999999,558.72,356.52000000000004,235.06440000000003,32.864400000000046,0.8156378323796699,0.5792804982817868,0.09218108381016504,0.21563783237966994,0.27928049828178686,0.10781891618983497,full,179026.9938,182360.32713333334,4972.972050000001,5065.564642592593
P3,风电场景3-光伏场景4,72,71.99999999999997,1056.7199999999996,291.88,764.8399999999996,0.0,1.0,0.27621318797789396,0.0,0.4,-0.02378681202210603,0.2,partial,615580.9449999996,618914.278333333,8549.73534722222,8596.031643518518
