problem,scenario,target_ton,product_ton,total_use_mwh,renewable_mwh,buy_mwh,sell_mwh,self_use_ratio,green_ratio,export_ratio,margin_self_use,margin_green,margin_export,status,running_cost_yuan,comprehensive_cost_yuan,running_cost_per_ton,comprehensive_cost_per_ton,battery_e_mwh,battery_p_mw,curtail_mwh,base_unserved_mwh
P4_storage,风电场景4-光伏场景2,max,40.12480379748507,615.7797858652102,618.364,0.0,0.0,0.9958208852151972,1.004196653079735,0.0,0.3958208852151972,0.704196653079735,0.2,full,152142.99779960595,159180.034836643,3791.744342663724,3967.1230703094434,20.0,5.0,0.0,0.0
P4_storage,风电场景4-光伏场景3,max,28.279293181012044,451.916889004,452.60400000000004,0.0,0.0,0.9984818715786867,1.0015204366393884,0.0,0.39848187157868675,0.7015204366393883,0.2,full,112497.43459486775,119534.47163190479,3978.0850912640017,4226.925717937161,20.0,5.0,0.0,0.0
P4_storage,风电场景4-光伏场景4,max,23.606522096674695,387.27688900399994,387.964,0.0,0.0,0.9982289310451483,1.0017742112052366,0.0,0.39822893104514834,0.7017742112052365,0.2,full,96948.0100165545,103985.04705359154,4106.831562037297,4404.928715367151,20.0,5.0,0.0,0.0
P4_storage,风电场景5-光伏场景1,max,44.67268564802082,678.6921514642879,819.4200000000001,0.0,0.0,0.8282591973155254,1.2073515189944215,0.0,0.22825919731552546,0.9073515189944215,0.2,full,182128.94876568273,189165.98580271978,4076.964393873458,4234.488772248252,20.0,5.0,136.14439980007998,0.0
P4_storage,风电场景5-光伏场景2,max,35.97400601109744,558.360416486848,560.8599999999999,0.0,0.0,0.9955433022266663,1.00447664884427,0.0,0.39554330222666634,0.70447664884427,0.2,full,136595.25069117348,143632.28772821053,3797.0542021101546,3992.6686976118854,20.0,5.0,0.7421999999999969,0.0
P4_storage,风电场景5-光伏场景3,max,24.172048192771083,395.1,395.1,0.0,0.0,1.0,1.0,0.0,0.4,0.7,0.2,full,97022.31903614457,104059.35607318161,4013.8228362940367,4304.945747390232,20.0,5.0,0.0,0.0
P4_storage,风电场景5-光伏场景4,max,19.499277108433734,330.4599999999999,330.4599999999999,0.0,0.0,1.0,1.0,0.0,0.4,0.7,0.2,full,81472.89445783132,88509.93149486836,4178.252045179309,4539.139117961787,20.0,5.0,0.0,0.0
P4_storage,风电场景6-光伏场景1,max,42.08169769621359,642.850151464288,715.76,0.0,0.0,0.898136458399866,1.1134165534061669,0.0,0.298136458399866,0.8134165534061668,0.2,full,162259.04452471886,169296.0815617559,3855.8103262863024,4023.0335473606324,20.0,5.0,68.40251787449543,0.0
P4_storage,风电场景6-光伏场景2,max,28.66120481927711,457.20000000000005,457.20000000000005,0.0,0.0,1.0,1.0,0.0,0.4,0.7,0.2,full,108850.93590361445,115887.97294065148,3797.8492736077474,4043.3740895186274,20.0,5.0,0.0,0.0
P4_storage,风电场景6-光伏场景3,max,16.678554216867468,291.44,291.44,0.0,0.0,1.0,1.0,0.0,0.4,0.7,0.2,full,68976.66891566265,76013.70595269969,4135.650369856681,4557.5716554511055,20.0,5.0,0.0,0.0
